date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
11/28/17,0.009686,0.009647,0.011476,0.011445
11/29/17,-0.00028,-0.00041,0.005454,0.005309
11/30/17,0.008424,0.008036,0.007552,0.007167
12/1/17,-0.002015,-0.002059,-0.001919,-0.001974
12/4/17,-0.001111,-0.001135,0.002377,0.002345
12/5/17,-0.00358,-0.003622,-0.006518,-0.006575
12/6/17,-0.000017,-0.000043,-0.00203,-0.002071
12/7/17,0.003135,0.00293,0.004487,0.004274
12/8/17,0.005568,0.005469,0.006532,0.006466
12/11/17,0.00318,0.003176,0.001269,0.001237
12/12/17,0.001538,0.001501,-0.000229,-0.000294
12/13/17,-0.000367,-0.0004,-0.000931,-0.000993
12/14/17,-0.003837,-0.004004,-0.005468,-0.005747
12/15/17,0.008871,0.008816,0.009481,0.009348
12/18/17,0.005425,0.005384,0.007218,0.007183
12/19/17,-0.003125,-0.003139,-0.00302,-0.003073
